ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
541,Andrey Viktorovich Abramov,M,24,176,70,Russia,RUS,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,NA
1587,zdemir Akbal,M,23,178,58,Turkey,TUR,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,NA
1699,"Johannes ""Johs"" Akkerhaugen",M,33,184,80,Norway,NOR,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
1831,Faisal Abdullah Al-Basam,M,18,NA,NA,Saudi Arabia,KSA,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
1928,Mansour Soud Al-Hamad,M,17,NA,NA,Saudi Arabia,KSA,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
1970,Adel Mohamed Al-Jabrin,M,20,170,64,Saudi Arabia,KSA,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
2430,Ramn Aldea,M,40,179,NA,Philippines,PHI,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
2954,Jos Rubn Almanzor Martnez,M,42,180,NA,Mexico,MEX,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
3177,Luis Antonio lvarez Murillo,M,21,174,90,Mexico,MEX,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,NA
3201,Miguel Alvario Garca,M,22,180,84,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,NA
3276,Ampol Amaluktipituk,M,34,171,63,Thailand,THA,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,NA
3656,Jos Andrs Anchondo Garca,M,25,185,75,Mexico,MEX,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,NA
3656,Jos Andrs Anchondo Garca,M,29,185,75,Mexico,MEX,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,NA
3656,Jos Andrs Anchondo Garca,M,33,185,75,Mexico,MEX,1996 Summer,1996,Summer,Atlanta,Archery,Archery Men's Individual,NA
3732,Herluf Juhl Andersen,M,40,177,NA,Denmark,DEN,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,NA
3934,Jonas Lennart Andersson,M,25,179,80,Sweden,SWE,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,NA
