Review,Liked
"- A group of bandits rob a train of the gold shipment it is carrying. In their escape, the bandits split up. The one thief who knows where the gold is hidden is killed before he is able to talk. Three men have a different part of the ""clue"" that will lead",1
- A Mexican priest becomes a wrestler to save an orphanage or something -<br /><br />I went to see this movie because it was about non-WWF wrestling and so I thought it might be funny. It wasn't. It is excruciating to watch. Embarrassing. Any and every op,0
"- A newlywed couple move into the home of the husband's dead former wife. It's not long before the new wife begins to have the feeling that someone doesn't want her in the house. She sees skulls all around the house. But when the husband investigates, he ",0
- A small time hood tricks the local mob boss out of a lot of money. Of course the mob boss wants his money back and doesn't care who he has to kill to get it. The punk enlists his friend and an old mobster to help him save his life.<br /><br />- If this ,0
"- Bad Stuff: This movie is real crap. Bad stunts for one thing, they looked so fake I thought this was ""The Twilight Zone"". The flashbacks are pretty much useless. One part of the movie he thinks taking his anger out on a window will make his life better.",0
"- Contains 1 spoiler, market with: ***** -<br /><br />Not presenting itself as yet another remake of ""The Interview"", Five Fingers actually is. Alas, besides maybe the hardship of physical torture, it never adds anything to it's predecessor's accomplishme",0
"- Contains miner spoilers - <br /><br />I have seen a number of decent Indie horror films such as The Hamiltons, The Boys Love Mandy Lane and Cabin Fever; unfortunately I felt Five Across the Eyes does not fall into this category. From start to finish the",0
"- Having grown tired of the rat race and cramped living conditions of New York City, Jim Blandings (Cary Grant) finds a property in the country for his wife and children. He's hoping to find the simple life. But, building a house proves to be anything but",1
"- I had planned to write something explaining what I didn't like about this movie, but this is going to be more difficult than I thought. Honestly, I can't remember much about it. I watched it just three days ago and it's made almost no impression on me. ",0
- Let me start by saying that I understand that Invasion of the Star Creatures was meant to be a parody of the sci-fi films of the 50s. I understand that none of it is to be taken seriously. The problem I have is that none of it works. A parody should be ,0
"- SMALL SPOILER HEREIN! - <br /><br />When I looked at the votes for ""Creep"" today, I was surprised about so many IMDb-users rating this movie ""1"". I am wondering: what do people expect of such kind of movie? Are there so many people watching a movie with",1
"------ Spoilers----- Spoilers----- Spoilers--------just a few small ones <br /><br />Saw this on Satilite channel, missed the first 30 min of movie, will keep this comment short and informative.<br /><br />The movie is basically about 5 characters,The act",1
"- The Best Bit : When the dull mobster (Nicholas Turturro) calls out to the runaway (Matthew Modine) ""Shane !.. Come Back Shane !"" and when the older wise guy asks him ""What Are You Doing ?!"" he replays simply ""Enjoying My Time !"" Actually like me at the ",1
"- When the local sheriff is killed, his wife takes over until and is determined to clean-up the town. Not everyone in town, however, is happy with what she's doing. When the sheriff orders a curfew in town, the local saloon owner (also a woman) hires a ki",0
"!!! Spoiler alert!!!<br /><br />The point is, though, that I didn't think this film had an ending TO spoil... I only started watching it in the middle, after Matt had gotten into Sarah's body, but then I became fascinated by the bizarreness of the plot, even for a Channel 5 movie... and couldn't possibly see how Matt wld end up happy. What about his fiancee? At one stage looked like he was gonna get with his best friend, surely icky and wrong... and then the whole 'oggi oggi oggi' thing does NOT WORK as a touching buddy-buddy catchphrase, tis just ridiculous... so was going 'surely he can't just come back to life? and yet how can he live as a woman?' and then the film just got over that by ending and not explaining anything at all!!!!! What's that about??? I was so cross, wasted a whole hour of my life for no reason at all!!! :) but was one of the funniest films I've ever seen, so, swings and roundabouts",0
"!!!! MILD SPOILERS !!!!<br /><br />The premise goes like this : A store gets burnt down and assistant Sergio is asked by the father of the man who started the fire to take the wrap to which Sergio agrees .<br /><br />So far so good , but there`s a fair lapse of logic involved Sergio agrees to do this for the sum of 25,000 dollars but why ? Come on guys if you were a good looking white boy would you run the risk of getting a long spell in a tough jail ( A very real possibilty for arson ) for the sake of 25 grand ? I know I wouldn`t , and seeing as you`d have a criminal record no employer would want to touch you with a barge pole so is $25,000 dollars all that much for a life of workfare and welfare cheques ? There`s also something else that seems to have gone without notice from the premise , since Mister Lumpke has told Sergio that his son did the fire he seems unware of the possibility that he may know too much . Wouldn`t alarm bells be ringing in your mind about someone wanting to keep you quite if they told you something ? <br /><br />I guess we`re not suppossed to think about such details since A PYROMANIAC`S LOVE STORY isn`t suppossed to be an intelligent thriller , it`s a light hearted romantic comedy/ chick flick that`s probably best apprieciated as a girls night in . Looking through this comments page it is obvious that the movie has its defenders but as a cynical male I wasn`t too impressed and William Baldwin does go way over the top",0
"!!!! MILD SPOILERS !!!!<br /><br />With the exception of THE TERMINATOR and TOTAL RECALL I don`t think Arnie`s action/adventure movies are up to much . They`re better than his comedies for sure but that`s hardly saying much . The problem I have with his all action blockbusters is that they`re overblown and lacking in any sort of morality <br /><br />Morality ? I mentioned in my review of TERMINATOR 2 the scene where good guy Terminator blows the kneecaps off the SWAT team . Are we to think that because the hero maims people doing their job instead of killing them we will admire him in someway ? This is the problem with ERASER , when James Cann`s character is revealed as a traitor within the US Marshal department Arnie`s character John Kruger goes on the run with a witness he`s protecting but in several later sequences Kruger kills a fairly large amount of marshals working with the villain . Are we take it they were all traitors too ? Surely many of them were honest men who were trying to stop Kruger because the bad guy told them Kruger was the traitor ? It`s a rather uneasy thought that Kruger killed several people who were trying to genuinely up hold the law <br /><br />Despite costing one hundred million dollars the special effects aren`t all that impressive . Look at the scene where Kruger lets go of the jet wing and scrambles to put on a parachute . It`s obvious as the action intercuts that it`s a stuntman who`s doing the free fall sequence while Arnie is in a studio in front of a blue screen . ERASER is also a film that has unnecessary CGI featuring killer alligators , not only unnecessary CGI but unconvincing CGI too . There`s also a few plot holes like in the opening scene involving a couple of witness protection people that the mob has caught up with . Kruger opens a car trunk and pulls out a couple of bodies and starts a fire thereby throwing the mob of the scent . Kruger is next seen rearranging the dental records via computer of the couple he`s saved . It would be logical to do this but would ALL the couples dental records be kept on computer ? Most importantly of all are we to believe the US Marshal department keep a freezer full of bodies for such events ?<br /><br />So they`re you go , a typical Arnie thriller long on unlikely set pieces and short on intelligence and it`s interesting to note that ERASER didn`t make much of a profit at the box office as the production costs almost outweighed a potential audience figure . After ERASER Arnie didn`t do much more business at the box office save for TERMINATOR 3 : RISE OF THE MACHINES which was an event movie and it`ll be interesting to see if he`ll be remembered as a politician rather than a movie star",0
"!!!! POSSIBLE MILD SPOILER !!!!!<br /><br />As I watched the first half of GUILTY AS SIN I couldn`t believe it was made in 1993 because it played like a JAGGED EDGE / Joe Eszterhas clone from the mid 80s . It starts with a murder and it`s left for the audience to muse "" Is he guilty or innocent and will he go to bed with his attorney ? "" , but halfway through the film shows its early 90s credentials by turning into a "" Lawyer gets manipulated and stalked by her client "" type film which ends in a ridiculous manner , and GUILTY AS SIN has an even more ridiculous ending in this respect .<br /><br />This is a very poor thriller but the most unforgivable thing about it is that it was directed by Sidney Lumet the same man who brought us the all time classic court room drama 12 ANGRY MEN",0
!!!!! OF COURSE THERE'S SPOILERS !!!!! I'm sure this project started off as a screen writing workshop on avoiding clichés in horror movies: Female protagonist - Check Bad things happen to drug takers - Check Heorine knocks out villain - Check Heroine doesn't notice villain recovering unconsciousness - Check Frame the sequence so we see recovered villain creep up behind heroine - Check Unfortunately it seems someone has sent this cliché list to a film studio instead of using it for class . Dear oh dear if only London transport was as regular as the clichés turning up here . In fact there's so many clichés and seen it all before moments that no one actually thought about going into detail as to what the eponymous creep is or how long he's been killing people on the underground . I'm led to believe it's the result of some human experiment and perhaps it's not until that night he decided to take his revenge out on humanity but all this is so vague as to be meaningless Not to be totally negative I doubt very much if the producers thought they'd be making a film that was going to sweep the Oscars that year and there's always a market for horror movies . Likewise I doubt if it cost too much produce and had one eye on the DVD market rather than cinema distribution and I will state that it's slightly better than 1972's DEATH LINE which also featured a murderous cannibal hiding in the London underground . it's just that when you think all the clichés have been used up in this film another cliché comes along to raise its ugly head,0
"!!!!! POSSIBLE SPOILER !!!!!<br /><br />You`d think a story involving Archie Grey Owl - An Englishman posing as a red indian - would have a massive amount of humour involved . In fact I`d say the only way to treat a film like this where a remarkable man cons the gullible public is to treat it as a comedy . However Richard Attenborough commits something akin to a crime by making GREY OWL a serious drama . Worse , he`s made an extremely dire film too . Pierce Brosnan lacks the charisma needed for the title role and the romantic subplot between Grey Owl and Pony ( Played by the equally wooden Annie Gaupeau ) lacks any type of on screen chemistry . But to be fair to the cast their not helped with the script which fails to portray Archie as the cheeky chappy he is of fooling everyone into believing he`s a native American . The producers and screenwriter have made the major error of having the film centre around the plot twist of Archie being an Englishman - That`s why I wrote "" Possible spoiler "" it`s not actually revealed untill late in the film that the title character is English , but it`s obvious that everyone who viewed this movie knew that beforehand hence there`s absolutely no surprise involved.<br /><br />Yes I do agree with everyone that the scenery is lovely and that it has a deep ecological message which isn`t actually a new concept . Theodore Roosevelt was the first important environmentalist of the 20th century if truth be told . And it should also be remembered that with the exception of SOYLENT GREEN ( And possibly THE TWO TOWERS if you want to class it as having a green message ) that there hasn`t actually been a great ecological film . In fact most environmentally concious films suck and that includes GREY OWL , a film that unsurprisingly had a serious problem in finding a distributor",0
""" Domino "" has been widely condemned on this site for its frenetic editing style and "" sickening "" photography. It's detractors cite its superficiality and criticize its deployment of "" style over substance"" I couldn't disagree more. I believe that "" Domino "" represents the absolute height of Tony Scott's film-making career. <br /><br />After having created the dominant Hollywood action movie style throughout the late eighties and early nineties Tony Scott has moved progressively closer to a more subjective style of cinema. As early as ""Crimson Tide"" Scott used his stylistic talent to portray the inner worlds of his characters- the claustrophobia and drama inherent in the conflict on board a nuclear submarine was embodied in the excellent use of long lenses combined with dutched-angle framing. This was then carried through to "" Enemy Of The State"" and ""Spy Game"" which visually represented the worlds of surveillance and espionage respectively. <br /><br />"" Man On Fire"" was an extreme departure , a move into an expressionist more painterly aesthetic. Here Scott used an antiquated hand cranked camera and flash frames to express his character's explosive rage . Although not entirely successful it introduced the techniques which were to find their full expression in "" Domino""<br /><br />Couched in the framing device of an FBI interrogation "" Domino"" presents the life of the infamous bounty hunter via her narrated disjointed fragments of memory. She grasps at memories as we all do- in fragments, flashes and brief snatches. As Domino relays her story verbally Scott relays it visually illustrating not only the events which she describes but also the point of view which guides them. She does have "" traces of mescaline"" in her system but her individual vision is anyway Unusual -that of an woman who eschewed the life of luxury for bounty hunting. <br /><br />It is when Domino begins to relate the events which lead to her captivity that Scott really lets rip. Together with Cinematographer Dan Mindel and composer Harry-Gregson Williams Scott orchestrates a postmodern canvas of contemporary Americana. Gradually we begin to realize that unusual though she may be Domino is no more disjointed than the ""90210"" culture she has rejected. As she wades through this cultural melange Scott makes his viewer more aware of the innocence which it destroys through the underprivileged children which the narrative introduces. Ultimately Scott portrays their salvation as the only escape we have from this surreal trip. <br /><br />To criticize this movie for being overly stylized is akin to criticizing a Picasso or a Pollock for not representing that which is recognizably human. Like any great painting the meaning in "" Domino"" is in the surface and the surface is everything. <br /><br />I am not in any way associated with Scott Free but have always been and will continue to be a huge admirer of Tony Scott's work",1
""" I have wrestled with death. It is the most unexciting contest you can imagine. It takes place in an impalpable grayness, with nothing underfoot, with nothing around, without spectators, without clamor, without glory, without the great desire of victory, without the great fear of defeat, in a sickly atmosphere of tepid skepticism, without much belief in your own right, and still less in that of your adversary. If such is the form of ultimate wisdom, then life is a greater riddle than some of us think it to be."" Marlow in Joseph Conrad's ""Heart of Darkness""<br /><br />It's difficult to make lyrical the subject of death in any work of art. Yet movies have recently made bold attempts to humanize it to the extent that it is embraced as a part of the cycle of all living things, and it can be chosen rather than legislated. ""Chosen"" is the operative word for Alejandro Amenabar's Sea Inside, based loosely on the true story of the Galician sailor Ramon Sampedro. It is a drama about euthanasia without prejudice clothed in love, poetry, and friendship. If it sounds like Barbarian Invasions (2003), in which a cancerous professor says farewell to lifelong friends and loves before he takes his life, then you are right. In fact, Sea is better because it spends more intimate time with the protagonist before he goes, a remarkable feat with not one of those moments in the least dull or uninteresting.<br /><br />Javier Bardem as Ramon has expressive eyes and commanding voice for the romantic quadriplegic, a combination of tough realist and poetic sufferer. Belen Rueda plays the disabled lawyer Julia, who becomes an imaginary lover for Ramon, increasing in radiance as her life degenerates with disease. Added to the already almost soap opera circumstance is Lola Duenas as Rosa, a blue collar visitor who initially tries to dissuade Ramon from seeking death but quickly falls in love with him. Talk about romanticizing disabilityThis guy has unbelievable luck attracting substantial women, and he can't move a finger. But talk he can, proving the ultimate argument about what women want: love that speaks, not just makes.<br /><br />I will refrain from mentioning the major motion picture now up for an Oscar that features euthanasia as its climax in order not to spoil the experience for first timers. Sufficient it is just to say both films are successful in opening up both sides of a contentious subject without forcing a specific point of view. The religious right has a right to complain that the former film and Barbarian Invasions celebrate suicide; it has no right to accuse the beautifully balanced Sea Inside of the same.<br /><br />""A life in this condition has no dignity,"" Ramon says. The irony is he conducts himself with supreme dignity that makes anyone question his determination to end his life. ""The Sea Inside"" is a formidable entry in 2004's Oscar nominations for best foreign language film.",1
""" It had to be You"" is another sign that Hollywood is running out of ideas. This picture is about Charlie Hudson a former police officer turned Author. When Charlie's fiancé goes out of town he's stuck with all of the wedding planning. He spends a week at a fancy hotel and meets Anna Penn a teacher who just happens to also be getting married. The two quickly become friends and set out to plan their separate weddings together. This is when the plot gets boring, Charlie falls in love with Anna and she has to choose between a safe life or Charlie. This movie rips off every romantic comedy ever made and just has you waiting for the end of the movie so you can do something else. Micahel Vartan and Natasha Henstridge give really mediocre performances which just makes this movie all the more gut wrenching to watch.",0
""" Now in India's sunny 'clime, where I use to spend my time as a soldier in the service of her Majesty the queen . . . "" so goes the famous poem penned by Rudyard Kipling. This is the literal foundation upon which the movie ""Gunga Din"" is based. If you are fortunate enough to watch this legendary Classic, you will enjoy films the way they use to make them; for the sheer pleasure. Taken from the script of the established novelist and poet, this is a story of a humble Indian native named Gunga Din (Sam Jaffe) who works as 'a regimental beasty' during the British occupation of India during the 18th century. His greatest wish is to become a soldier. The water boy is part of a British Calvary contingent threatened with death by a notorious blood cult of Kali called the 'Thuggee.' Three particular soldiers stand out in this company who are noted for their bravery and comradeship. First is handsome and debonair, Cary Grant playing Sgt. Archibald Cutter. Next is Victor McLaglen as courageous Sgt. MacChesney and finally there's flamboyant Douglas Fairbanks Jr. as Sgt. Thomas Ballantine. All three and their fellow soldiers are surrounded by a hoard of mountain stranglers led by their fanatical leader called the 'Guru' (Eduardo Ciannelli). Amid the Chaos of war, is the brave water-boy who hopes to earn a place in the army by playing a bugle he found. A solid story for an old black and white film which needs little fanfare for anyone looking to enjoy a classic. ****",1
""" Så som i himmelen "" .. as above so below.. that very special point where Divine and Human meet. I ADORE this film ! A gem. YES amazing grace !<br /><br />I was so deeply moved by its very HUMAN quality. I laughed and cried through a whole register , indeed several octaves of emotions.<br /><br />Mikael Nyqvist ís BRILLIANT as Daniel , a first rate passionate performance, charismatic and powerful. His inner light and exceptional talent shines through in every scene, every interaction ,in every meeting. I was totally mesmerised, enchanted and caught up the story, which is our collective story, the story of life itself.<br /><br />The film was also so inclusive of many archetypes, messiah, wounded child ,magical child, artist, teacher, priest, abuser, abused, victim, bully, divine fool - ALL the characters so real and true to life - all awakened great fondness and compassion in me. <br /><br />It is a real treat to see such a thought provoking yet thoroughly enjoyable, entertaining film. Oh ..mustn't forget the heavenly choir of angels and breathtakingly beautiful sound. <br /><br />THANK YOU ALL - This Swedish film will surely captivate people world-wide. BRILLIANT !",1
""" While sporadically engrossing (including a few effectively tender moments) and humorous, the sledgehammer-obvious satire 'Homecoming' hinges on comes off as forced and ultimately unfulfilling. With material like this, timing is everything (Michael Moore knew to release ""Fahrenheit 9/11"" before the 2004 elections), and the real tragedy of Dante's film is that it didn't come out 2 years ago, when its message would have carried an energy that would have energized the dissidents further. In 2006, mockery of the well-settled Bush Administration hardly seems as controversially compelling (or imperiled) as it did then.""<br /><br />frankly anyone that could be convinced of anything by a ham fisted zombie flick has questionable intelligence. <br /><br />and if you didn't notice, michael moore didn't exactly help to defeat bush.<br /><br />there was nothing engrossing about this film. i just felt disgust at how blatant and frankly stupid the film was, it was painful to watch. if you are going to do something like this you need a bit of wit. sadly this has none. a poorly done satire actually has the opposite of its intended effect. as they say, with friends like these who needs enemies.",0
"""... the beat is too strong ... we're deaf mutants now--like them"", Rex Voorhas Ormine<br /><br />I am surprised that this movie has been uniformly bashed. Let me be the first to actually discuss the virtues of ""The Beat"" and why YOU MUST SEE THIS FILM NOW.<br /><br />Make no mistake, this movie is cheesy and ""bad"" in the conventional sense: the story is preposterous, the poetry is silly, and the acting is inconsistent.<br /><br />But these are the film's CHARMS--all of these ingredients form the recipe for one of the most UNDERAPPRECIATED CHEEZY FILMS of the 80's.<br /><br />If the reference to ""deaf mutants"" didn't pique your interest, then perhaps this will: What kind of name is ""Rex Voorhas Ormine"", anyway? It is such an unusual name (for North American audiences) that I said to myself, ""even the names of the characters in this friggin' movie are firggin' silly.""<br /><br />Well, ""The Beat"" is so fabulously cheezy that the ""meaning"" and ""symbolism"" behind ""Rex Voorhas Ormine"" is revealed not-too-subtly by Bart Waxman (the misguided guidance counselor you love to hate). I won't spoil the revelation behind Rex's name, but please don't get too excited, O.K.?<br /><br />Overall, the acting is inconsistent (John Savage--who plays the ""concerned teacher"" Mr. Ellsworth is pretty good, as is the fellow playing Bart Waxman, but the rest of the cast are unconvincing). That said, the acting does NOT detract from the film. Why? There is a SINCERITY in each of the actors' performances that makes the characters they play endearing. So although the performances may suck, you are still left with the impression that the actors are really trying to do their best. As a result, the actors' sincerity succeeds where their acting fails (which is quite often).<br /><br />The homage to ""beat poetry"" in this film is bad, bad, bad. But this is a good, good, good thing when it comes to entertainment. Would you actually enjoy ""better quality"" or ""more respectable"" poetry--especially in a film like this?<br /><br />Folks, that would be BORING (think about the droll they made us read in high school--sanitized to avoid ""corrupting the youth"", politically conservative and devoid of any critical analysis, etc.) Even if you don't like poetry or ""arty"" movies (with all of the ""intellectual"" posturing that implies), you most certainly can (and should) appreciate LUDICROUS POETRY in a WANNABE ART FILM!!!! How could you not enjoy the following?<br /><br />""do you remember the roar of the dinosaur? a woman's scotty craps on the floor bad scotty bad, oh the woman's so sad she washes her hands and then waits by the door today, yeah--today!""<br /><br />Yes, that is an example of some of the remarkable poetry liberally sprinkled throughout ""The Beat."" But what about the story, you ask?<br /><br />Well, the story is preposterous. But then again, that is the beauty of this film. Apart from some cliches, stereotypes, and predictable plot points, there are enough genuinely unique elements to the plot/story to keep things interesting. Who is Rex? Where did he come from? What the heck is he talking about? Deaf mutants? Illiterate angels? Do Billy and Kate REALLY understand what Rex is saying? Is the audience supposed to understand Rex and his poetry posse? (I've seen the movie several times and I still haven't figured everything out.)<br /><br />Will bad poetry and high school talent shows really END GANG VIOLENCE?<br /><br />I guarantee that you have never seen anything quite like ""The Beat""--a perfect combination of brilliantly bad poetry, mediocre-yet-sincere acting, and a ""mythopoetics conquers gang violence"" storyline that has YET TO BE RIVALLED BY ANY FILM EVER MADE.<br /><br />Bonus for fans of classic NYC hardcore: The Cro-Mags make a rare film appearance as the ""Iron Skulls"" and it's a hoot to see them perform several songs. I wish they included more concert footage, but maybe that will be an ""extra"" included on the ""collector's edition"" DVD I fantasize about.<br /><br />",1
